Instance, D-Wave p(s), Classical SA p(s)
Benchmarking--108q--15us--02-Aug-2012-13-55-11.txt, 0.866147, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-55-20.txt, 0.158813, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-55-29.txt, 0.919282, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-55-37.txt, 0.822077, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-55-46.txt, 0.529950, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-55-55.txt, 0.623205, 0.99
Benchmarking--108q--15us--02-Aug-2012-13-56-03.txt, 0.979275, 0.99
Benchmarking--108q--15us--02-Aug-2012-13-56-12.txt, 0.541581, 0.98
Benchmarking--108q--15us--02-Aug-2012-13-56-21.txt, 0.630296, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-56-29.txt, 0.980587, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-56-38.txt, 0.894100, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-56-46.txt, 0.955909, 0.70
Benchmarking--108q--15us--02-Aug-2012-13-56-55.txt, 0.419651, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-57-04.txt, 0.969824, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-57-12.txt, 0.356653, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-57-21.txt, 0.844604, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-57-30.txt, 0.961469, 0.90
Benchmarking--108q--15us--02-Aug-2012-13-57-38.txt, 0.566106, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-57-47.txt, 0.437013, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-57-55.txt, 0.879643, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-58-05.txt, 0.916662, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-58-14.txt, 0.966329, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-58-22.txt, 0.924810, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-58-31.txt, 0.866602, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-58-40.txt, 0.952553, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-58-48.txt, 0.918923, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-58-57.txt, 0.372752, 0.99
Benchmarking--108q--15us--02-Aug-2012-13-59-06.txt, 0.928687, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-59-14.txt, 0.025790, 0.96
Benchmarking--108q--15us--02-Aug-2012-13-59-23.txt, 0.927389, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-59-32.txt, 0.952324, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-59-40.txt, 0.955832, 0.98
Benchmarking--108q--15us--02-Aug-2012-13-59-49.txt, 0.913179, 1.00
Benchmarking--108q--15us--02-Aug-2012-13-59-58.txt, 0.980903, 1.00
Benchmarking--108q--15us--02-Aug-2012-14-00-07.txt, 0.527069, 0.92
Benchmarking--108q--15us--02-Aug-2012-17-02-50.txt, 0.686363, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-02-59.txt, 0.929751, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-03-08.txt, 0.923588, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-03-16.txt, 0.892754, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-03-25.txt, 0.925022, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-03-33.txt, 0.979038, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-03-42.txt, 0.543184, 0.79
Benchmarking--108q--15us--02-Aug-2012-17-03-51.txt, 0.977185, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-04-02.txt, 0.954825, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-04-11.txt, 0.989599, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-04-20.txt, 0.343260, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-04-28.txt, 0.824017, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-04-37.txt, 0.957078, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-04-46.txt, 0.025739, 0.59
Benchmarking--108q--15us--02-Aug-2012-17-04-54.txt, 0.712808, 0.97
Benchmarking--108q--15us--02-Aug-2012-17-05-03.txt, 0.375342, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-05-11.txt, 0.451110, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-05-20.txt, 0.958982, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-05-29.txt, 0.135518, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-05-37.txt, 0.665656, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-05-46.txt, 0.927274, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-05-55.txt, 0.557703, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-06-03.txt, 0.084076, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-06-12.txt, 0.975948, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-06-20.txt, 0.642452, 0.66
Benchmarking--108q--15us--02-Aug-2012-17-06-29.txt, 0.829737, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-06-38.txt, 0.891460, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-06-46.txt, 0.734163, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-06-55.txt, 0.003257, 0.89
Benchmarking--108q--15us--02-Aug-2012-17-07-04.txt, 0.672732, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-07-13.txt, 0.083844, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-07-21.txt, 0.732696, 0.86
Benchmarking--108q--15us--02-Aug-2012-17-07-30.txt, 0.122653, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-07-39.txt, 0.815584, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-07-47.txt, 0.924321, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-07-56.txt, 0.764370, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-08-05.txt, 0.387236, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-08-13.txt, 0.953268, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-08-22.txt, 0.015506, 0.96
Benchmarking--108q--15us--02-Aug-2012-17-08-31.txt, 0.568483, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-08-44.txt, 0.140708, 0.96
Benchmarking--108q--15us--02-Aug-2012-17-08-52.txt, 0.758672, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-09-01.txt, 0.013426, 0.95
Benchmarking--108q--15us--02-Aug-2012-17-09-10.txt, 0.002339, 0.89
Benchmarking--108q--15us--02-Aug-2012-17-09-18.txt, 0.927239, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-09-28.txt, 0.953038, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-09-37.txt, 0.846600, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-09-45.txt, 0.162415, 0.98
Benchmarking--108q--15us--02-Aug-2012-17-09-54.txt, 0.045785, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-10-03.txt, 0.987913, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-10-11.txt, 0.845429, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-10-20.txt, 0.903530, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-10-29.txt, 0.978603, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-10-37.txt, 0.972055, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-10-46.txt, 0.995111, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-10-55.txt, 0.150430, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-11-04.txt, 0.980117, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-11-13.txt, 0.942498, 0.98
Benchmarking--108q--15us--02-Aug-2012-17-11-23.txt, 0.261951, 0.95
Benchmarking--108q--15us--02-Aug-2012-17-11-32.txt, 0.035852, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-11-40.txt, 0.001749, 0.87
Benchmarking--108q--15us--02-Aug-2012-17-11-49.txt, 0.613474, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-11-58.txt, 0.980006, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-12-17.txt, 0.907056, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-12-26.txt, 0.440821, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-12-35.txt, 0.971740, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-12-43.txt, 0.821327, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-12-52.txt, 0.971046, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-13-01.txt, 0.646026, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-13-09.txt, 0.937521, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-13-18.txt, 0.980808, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-13-27.txt, 0.961946, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-13-35.txt, 0.729904, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-13-44.txt, 0.915359, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-13-55.txt, 0.627254, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-14-18.txt, 0.977902, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-14-27.txt, 0.270539, 0.94
Benchmarking--108q--15us--02-Aug-2012-17-14-36.txt, 0.883775, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-14-44.txt, 0.834563, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-14-53.txt, 0.685149, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-15-02.txt, 0.305724, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-15-11.txt, 0.088125, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-15-20.txt, 0.376462, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-15-29.txt, 0.011417, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-15-38.txt, 0.585032, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-15-47.txt, 0.522705, 0.71
Benchmarking--108q--15us--02-Aug-2012-17-15-56.txt, 0.989702, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-16-05.txt, 0.745987, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-16-13.txt, 0.970330, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-16-22.txt, 0.945636, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-16-42.txt, 0.866962, 0.98
Benchmarking--108q--15us--02-Aug-2012-17-16-51.txt, 0.627780, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-17-02.txt, 0.910908, 0.90
Benchmarking--108q--15us--02-Aug-2012-17-17-13.txt, 0.882747, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-17-22.txt, 0.990134, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-17-31.txt, 0.796881, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-17-43.txt, 0.316055, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-17-51.txt, 0.024343, 0.98
Benchmarking--108q--15us--02-Aug-2012-17-18-00.txt, 0.089657, 0.96
Benchmarking--108q--15us--02-Aug-2012-17-18-09.txt, 0.906941, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-18-18.txt, 0.953231, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-18-27.txt, 0.880898, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-18-36.txt, 0.017157, 0.97
Benchmarking--108q--15us--02-Aug-2012-17-18-58.txt, 0.442865, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-19-06.txt, 0.944364, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-19-15.txt, 0.009247, 0.85
Benchmarking--108q--15us--02-Aug-2012-17-19-23.txt, 0.960572, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-19-32.txt, 0.748005, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-19-40.txt, 0.972632, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-19-53.txt, 0.728878, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-20-02.txt, 0.984711, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-20-11.txt, 0.175580, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-20-20.txt, 0.155025, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-20-28.txt, 0.198378, 0.92
Benchmarking--108q--15us--02-Aug-2012-17-20-37.txt, 0.015363, 0.92
Benchmarking--108q--15us--02-Aug-2012-17-20-46.txt, 0.222621, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-20-55.txt, 0.954874, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-21-04.txt, 0.706048, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-21-13.txt, 0.950874, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-21-21.txt, 0.125051, 0.85
Benchmarking--108q--15us--02-Aug-2012-17-21-30.txt, 0.508539, 0.89
Benchmarking--108q--15us--02-Aug-2012-17-21-39.txt, 0.506608, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-21-47.txt, 0.213466, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-21-56.txt, 0.957336, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-22-06.txt, 0.928654, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-22-14.txt, 0.959289, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-22-23.txt, 0.953436, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-22-33.txt, 0.909426, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-22-41.txt, 0.959275, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-22-50.txt, 0.375996, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-22-59.txt, 0.952033, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-23-08.txt, 0.897420, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-23-16.txt, 0.903959, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-23-25.txt, 0.868426, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-23-33.txt, 0.714731, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-23-42.txt, 0.712781, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-23-51.txt, 0.853626, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-23-59.txt, 0.949575, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-24-08.txt, 0.980041, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-24-17.txt, 0.990211, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-24-26.txt, 0.466867, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-24-35.txt, 0.775973, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-24-44.txt, 0.910506, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-24-53.txt, 0.978321, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-25-02.txt, 0.877304, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-25-10.txt, 0.978395, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-25-19.txt, 0.950257, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-25-28.txt, 0.934820, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-25-37.txt, 0.959781, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-25-45.txt, 0.861396, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-25-54.txt, 0.592229, 0.97
Benchmarking--108q--15us--02-Aug-2012-17-26-02.txt, 0.990220, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-26-11.txt, 0.636698, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-26-20.txt, 0.949803, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-26-28.txt, 0.906113, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-26-37.txt, 0.895955, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-26-46.txt, 0.953084, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-26-54.txt, 0.768521, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-27-03.txt, 0.564841, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-27-11.txt, 0.103560, 0.88
Benchmarking--108q--15us--02-Aug-2012-17-27-20.txt, 0.047150, 0.93
Benchmarking--108q--15us--02-Aug-2012-17-27-29.txt, 0.506793, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-27-37.txt, 0.777072, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-27-46.txt, 0.844137, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-27-55.txt, 0.858316, 0.97
Benchmarking--108q--15us--02-Aug-2012-17-28-03.txt, 0.506819, 0.90
Benchmarking--108q--15us--02-Aug-2012-17-28-12.txt, 0.413793, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-28-21.txt, 0.176396, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-28-29.txt, 0.009441, 0.98
Benchmarking--108q--15us--02-Aug-2012-17-28-38.txt, 0.970843, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-28-47.txt, 0.088693, 0.84
Benchmarking--108q--15us--02-Aug-2012-17-28-55.txt, 0.071158, 0.97
Benchmarking--108q--15us--02-Aug-2012-17-29-04.txt, 0.000140, 0.61
Benchmarking--108q--15us--02-Aug-2012-17-29-13.txt, 0.006166, 0.94
Benchmarking--108q--15us--02-Aug-2012-17-29-21.txt, 0.966512, 0.97
Benchmarking--108q--15us--02-Aug-2012-17-29-30.txt, 0.374769, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-29-38.txt, 0.974066, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-29-47.txt, 0.816324, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-29-56.txt, 0.677317, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-30-05.txt, 0.019413, 0.94
Benchmarking--108q--15us--02-Aug-2012-17-30-13.txt, 0.318822, 0.97
Benchmarking--108q--15us--02-Aug-2012-17-30-22.txt, 0.628992, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-30-30.txt, 0.766057, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-30-39.txt, 0.010200, 0.93
Benchmarking--108q--15us--02-Aug-2012-17-30-48.txt, 0.387588, 0.90
Benchmarking--108q--15us--02-Aug-2012-17-30-56.txt, 0.170768, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-31-05.txt, 0.881954, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-31-14.txt, 0.008074, 0.96
Benchmarking--108q--15us--02-Aug-2012-17-31-22.txt, 0.881975, 0.99
Benchmarking--108q--15us--02-Aug-2012-17-31-31.txt, 0.901058, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-31-40.txt, 0.747270, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-31-48.txt, 0.521821, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-31-57.txt, 0.721341, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-32-06.txt, 0.946922, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-32-14.txt, 0.935153, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-32-23.txt, 0.933804, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-32-31.txt, 0.689939, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-32-40.txt, 0.655270, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-32-49.txt, 0.834066, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-32-57.txt, 0.933179, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-33-06.txt, 0.083608, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-33-15.txt, 0.084531, 0.97
Benchmarking--108q--15us--02-Aug-2012-17-33-23.txt, 0.941616, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-33-32.txt, 0.385425, 0.76
Benchmarking--108q--15us--02-Aug-2012-17-33-41.txt, 0.710880, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-33-49.txt, 0.949990, 0.97
Benchmarking--108q--15us--02-Aug-2012-17-33-58.txt, 0.648207, 0.95
Benchmarking--108q--15us--02-Aug-2012-17-34-06.txt, 0.228942, 0.98
Benchmarking--108q--15us--02-Aug-2012-17-34-15.txt, 0.624324, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-34-24.txt, 0.978021, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-34-33.txt, 0.697460, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-34-41.txt, 0.914570, 1.00
Benchmarking--108q--15us--02-Aug-2012-17-34-50.txt, 0.264790, 0.93
Benchmarking--108q--15us--02-Aug-2012-17-34-59.txt, 0.098594, 1.00
